# G4 能力缺口矩阵（W27 P0 · 本文件为唯一权威版本，G4CapabilityMatrixTest 机械校验）
#
# 生成口径（auditable，全部由本仓源码机械导出）：
#   CM/SM 行：GameOfMir/Common/Grobal2.pas 常量全集；wire=gate-game ⇔ 该数值在
#             GameProtocolAdapter.isSupported（CM）/适配器出站引用（SM）中，
#             wire=gate-login ⇔ LegacyGateHandler 实际分发/出站；code 必须与 Delphi 同值。
#   SKILL 行：Grobal2.pas SKILL_* 常量 1..59 × {warrior,wizard,taoist}。
#             job 归属仅在 GEEM2 Magic.DB 存在 (MagID,名称) 双匹配时采纳（cjlaaa/Mir2-GeeM2
#             @9981a8d7，引擎重编号段一律不映射）。
#   MERCHANT/GUILD/SIEGE 标签行：M2Share.pas 1032..1079 特殊标签块（sSL_SENDMSG..sHIREGUARDOK）。
#   DEAL/GUILD 其余行：能力级分组，code 引用对应 CM 码（交叉引用由测试校验）。
#
# 状态枚举（plan 五态）：
#   implemented         线上行为已复刻且有自动化证据（evidence 列必填）
#   needs-client-check  已复刻且有本地证据，但字节级 golden/真实客户端对拍仍挂账（evidence 必填）
#   protocol-only       仅协议占位：Java 有常量、线上无处理/无出站
#   logic-only          仅服务端逻辑：无 Java 常量但线上已处理（预留，当前 0 行）
#   unimplemented       无常量无处理
#
# 列：section / key / code / java_constant / wire / status / evidence / delphi_ref / notes
# evidence 逗号分隔，必须是仓库内真实存在的 *Test 类名或既有文档路径（测试校验）。
section	key	code	java_constant	wire	status	evidence	delphi_ref	notes
SM	SM_SENDGOODSLIST	645	yes	none	protocol-only	-	Grobal2.pas	货物列表——买卖未开放（W27 P1），见 MERCHANT 区
SM	SM_SENDUSERSELL	646	yes	none	protocol-only	-	Grobal2.pas	开出售窗——见 MERCHANT 区
SM	SM_SENDBUYPRICE	647	yes	none	protocol-only	-	Grobal2.pas	售价报价——见 MERCHANT 区
SM	SM_USERSELLITEM_OK	648	yes	none	protocol-only	-	Grobal2.pas	出售成功——见 MERCHANT 区
SM	SM_USERSELLITEM_FAIL	649	yes	none	protocol-only	-	Grobal2.pas	出售失败——见 MERCHANT 区
SM	SM_BUYITEM_SUCCESS	650	yes	none	protocol-only	-	Grobal2.pas	购买成功——见 MERCHANT 区
SM	SM_BUYITEM_FAIL	651	yes	none	protocol-only	-	Grobal2.pas	购买失败——见 MERCHANT 区
SM	SM_SENDDETAILGOODSLIST	652	yes	none	protocol-only	-	Grobal2.pas	详细货品——见 MERCHANT 区
SM	SM_GOLDCHANGED	653	yes	gate-game	implemented	WorldGoldDropTest,GameItemProtocolTest	Grobal2.pas	金币变化
SM	SM_CHANGELIGHT	654	yes	gate-game	implemented	WorldChatAndDayCycleTest	Grobal2.pas	亮度变化
SM	SM_LAMPCHANGEDURA	655	yes	none	protocol-only	-	Grobal2.pas	火把耐久
SM	SM_CHANGENAMECOLOR	656	yes	gate-game	implemented	WorldPkAndEquipmentDropTest	Grobal2.pas	名字颜色（PK 模型）
SM	SM_CHARSTATUSCHANGED	657	yes	none	protocol-only	-	Grobal2.pas	状态字变化（中毒/石化等）
SM	SM_SENDNOTICE	658	yes	none	protocol-only	-	Grobal2.pas	登录公告
SM	SM_GROUPMODECHANGED	659	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	组队模式
SM	SM_CREATEGROUP_OK	660	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	建组成功
SM	SM_CREATEGROUP_FAIL	661	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	建组失败
SM	SM_GROUPADDMEM_OK	662	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	拉人成功
SM	SM_GROUPDELMEM_OK	663	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	踢人成功，body=成员名
SM	SM_GROUPADDMEM_FAIL	664	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	拉人失败
SM	SM_GROUPDELMEM_FAIL	665	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	踢人失败
SM	SM_GROUPCANCEL	666	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	队伍解散/被移出
SM	SM_GROUPMEMBERS	667	yes	gate-game	implemented	GameGroupProtocolTest	Grobal2.pas	成员名单
SM	SM_SENDUSERREPAIR	668	yes	gate-game	implemented	GameRepairProtocolTest,WorldRepairTest	Grobal2.pas	开修理对话框
SM	SM_USERREPAIRITEM_OK	669	yes	gate-game	implemented	GameRepairProtocolTest,WorldRepairTest	Grobal2.pas	修理成功 recog=金币 param/tag=耐久
SM	SM_USERREPAIRITEM_FAIL	670	yes	gate-game	implemented	GameRepairProtocolTest,WorldRepairTest	Grobal2.pas	修理失败
SM	SM_SENDREPAIRCOST	671	yes	gate-game	implemented	GameRepairProtocolTest,WorldRepairTest	Grobal2.pas	修理报价（-1=不可修）
SM	SM_DEALMENU	673	yes	none	protocol-only	-	Grobal2.pas	交易窗——见 DEAL 区
SM	SM_DEALTRY_FAIL	674	yes	none	protocol-only	-	Grobal2.pas	交易拒绝——见 DEAL 区
SM	SM_DEALADDITEM_OK	675	yes	none	protocol-only	-	Grobal2.pas	交易放物确认——见 DEAL 区
SM	SM_DEALADDITEM_FAIL	676	yes	none	protocol-only	-	Grobal2.pas	交易放物失败——见 DEAL 区
SM	SM_DEALDELITEM_OK	677	yes	none	protocol-only	-	Grobal2.pas	交易取回确认——见 DEAL 区
SM	SM_DEALDELITEM_FAIL	678	yes	none	protocol-only	-	Grobal2.pas	交易取回失败——见 DEAL 区
SM	SM_DEALCANCEL	681	yes	none	protocol-only	-	Grobal2.pas	交易取消——见 DEAL 区
SM	SM_DEALREMOTEADDITEM	682	yes	none	protocol-only	-	Grobal2.pas	对方放物——见 DEAL 区
SM	SM_DEALREMOTEDELITEM	683	yes	none	protocol-only	-	Grobal2.pas	对方取回——见 DEAL 区
SM	SM_DEALCHGGOLD_OK	684	yes	none	protocol-only	-	Grobal2.pas	交易金币确认——见 DEAL 区
SM	SM_DEALCHGGOLD_FAIL	685	yes	none	protocol-only	-	Grobal2.pas	交易金币失败——见 DEAL 区
SM	SM_DEALREMOTECHGGOLD	686	yes	none	protocol-only	-	Grobal2.pas	对方改金币——见 DEAL 区
SM	SM_DEALSUCCESS	687	yes	none	protocol-only	-	Grobal2.pas	交易完成——见 DEAL 区
SM	SM_SENDUSERSTORAGEITEM	700	yes	none	protocol-only	-	Grobal2.pas	仓库窗——@storage 前置
SM	SM_STORAGE_OK	701	yes	none	protocol-only	-	Grobal2.pas	存仓成功
SM	SM_STORAGE_FULL	702	yes	none	protocol-only	-	Grobal2.pas	仓库满
SM	SM_STORAGE_FAIL	703	yes	none	protocol-only	-	Grobal2.pas	存仓失败
SM	SM_SAVEITEMLIST	704	yes	none	protocol-only	-	Grobal2.pas	存档物品列表
SM	SM_TAKEBACKSTORAGEITEM_OK	705	yes	none	protocol-only	-	Grobal2.pas	取仓成功
SM	SM_TAKEBACKSTORAGEITEM_FAIL	706	yes	none	protocol-only	-	Grobal2.pas	取仓失败
SM	SM_TAKEBACKSTORAGEITEM_FULLBAG	707	yes	none	protocol-only	-	Grobal2.pas	取仓背包满
SM	SM_MYSTATUS	708	yes	none	protocol-only	-	Grobal2.pas	自身状态字
SM	SM_DELITEMS	709	yes	gate-game	implemented	WorldPkAndEquipmentDropTest,WorldEquipmentTest	Grobal2.pas	批量删物回推（死亡散物）
SM	SM_READMINIMAP_OK	710	yes	none	protocol-only	-	Grobal2.pas	小地图数据
SM	SM_READMINIMAP_FAIL	711	yes	none	protocol-only	-	Grobal2.pas	小地图失败
SM	SM_SENDUSERMAKEDRUGITEMLIST	712	yes	none	protocol-only	-	Grobal2.pas	制药清单——@makedrug 前置
SM	SM_MAKEDRUG_SUCCESS	713	yes	none	protocol-only	-	Grobal2.pas	制药成功
SM	SM_MAKEDRUG_FAIL	714	yes	none	protocol-only	-	Grobal2.pas	制药失败
SM	SM_716	716	yes	none	protocol-only	-	Grobal2.pas	占位编号
SM	SM_CHANGEGUILDNAME	750	yes	none	protocol-only	-	Grobal2.pas	行会改名——见 GUILD 区
SM	SM_SENDUSERSTATE	751	yes	none	protocol-only	-	Grobal2.pas	玩家详情窗（CM_QUERYUSERSTATE 应答）
SM	SM_SUBABILITY	752	yes	none	protocol-only	-	Grobal2.pas	附加属性（加点/状态）
SM	SM_OPENGUILDDLG	753	yes	none	protocol-only	-	Grobal2.pas	开行会窗——见 GUILD 区
SM	SM_OPENGUILDDLG_FAIL	754	yes	none	protocol-only	-	Grobal2.pas	开行会窗失败——见 GUILD 区
SM	SM_SENDGUILDMEMBERLIST	756	yes	none	protocol-only	-	Grobal2.pas	行会成员列表——见 GUILD 区
SM	SM_GUILDADDMEMBER_OK	757	yes	none	protocol-only	-	Grobal2.pas	行会拉人成功——见 GUILD 区
SM	SM_GUILDADDMEMBER_FAIL	758	yes	none	protocol-only	-	Grobal2.pas	行会拉人失败——见 GUILD 区
SM	SM_GUILDDELMEMBER_OK	759	yes	none	protocol-only	-	Grobal2.pas	行会踢人成功——见 GUILD 区
SM	SM_GUILDDELMEMBER_FAIL	760	yes	none	protocol-only	-	Grobal2.pas	行会踢人失败——见 GUILD 区
SM	SM_GUILDRANKUPDATE_FAIL	761	yes	none	protocol-only	-	Grobal2.pas	行会封号失败——见 GUILD 区
SM	SM_BUILDGUILD_OK	762	yes	none	protocol-only	-	Grobal2.pas	建行会成功——见 GUILD 区
SM	SM_BUILDGUILD_FAIL	763	yes	none	protocol-only	-	Grobal2.pas	建行会失败——见 GUILD 区
SM	SM_DONATE_OK	764	yes	none	protocol-only	-	Grobal2.pas	捐献成功——见 GUILD 区
SM	SM_DONATE_FAIL	765	yes	none	protocol-only	-	Grobal2.pas	捐献失败——见 GUILD 区
SM	SM_AREASTATE	766	yes	none	protocol-only	-	Grobal2.pas	区域状态（攻城/安全区）——见 SIEGE 区
SM	SM_MENU_OK	767	yes	none	protocol-only	-	Grobal2.pas	NPC 菜单确认——脚本引擎前置
SM	SM_GUILDMAKEALLY_OK	768	yes	none	protocol-only	-	Grobal2.pas	结盟成功——见 GUILD 区
SM	SM_GUILDMAKEALLY_FAIL	769	yes	none	protocol-only	-	Grobal2.pas	结盟失败——见 GUILD 区
SM	SM_GUILDBREAKALLY_OK	770	yes	none	protocol-only	-	Grobal2.pas	解盟成功——见 GUILD 区
SM	SM_GUILDBREAKALLY_FAIL	771	yes	none	protocol-only	-	Grobal2.pas	解盟失败——见 GUILD 区
SM	SM_DLGMSG	772	yes	none	protocol-only	-	Grobal2.pas	弹窗消息——脚本引擎前置
SM	SM_SPACEMOVE_HIDE	800	yes	none	protocol-only	-	Grobal2.pas	瞬息移动离场帧——技能切片
SM	SM_SPACEMOVE_SHOW	801	yes	none	protocol-only	-	Grobal2.pas	瞬息移动入场帧——技能切片
SM	SM_RECONNECT	802	yes	none	protocol-only	-	Grobal2.pas	重连提示（跨服/换服流程）
SM	SM_GHOST	803	yes	gate-game	implemented	GameProtocolAdapterTest	Grobal2.pas	目标离场/不可见应答
SM	SM_SHOWEVENT	804	yes	none	protocol-only	-	Grobal2.pas	事件对象显示（攻城/活动）
SM	SM_HIDEEVENT	805	yes	none	protocol-only	-	Grobal2.pas	事件对象隐藏
SM	SM_SPACEMOVE_HIDE2	806	yes	none	protocol-only	-	Grobal2.pas	瞬息移动扩展帧
SM	SM_SPACEMOVE_SHOW2	807	yes	none	protocol-only	-	Grobal2.pas	瞬息移动扩展帧
SM	SM_TIMECHECK_MSG	810	yes	none	protocol-only	-	Grobal2.pas	计时校验（反外挂）
SM	SM_ADJUST_BONUS	811	yes	none	protocol-only	-	Grobal2.pas	加点应答（CM_ADJUST_BONUS）
SM	SM_OPENHEALTH	1100	yes	none	protocol-only	-	Grobal2.pas	显血订阅（心灵启示）
SM	SM_CLOSEHEALTH	1101	yes	none	protocol-only	-	Grobal2.pas	关闭显血
SM	SM_BREAKWEAPON	1102	yes	none	protocol-only	-	Grobal2.pas	武器破碎提示
SM	SM_INSTANCEHEALGUAGE	1103	yes	none	protocol-only	-	Grobal2.pas	即时血条（私服扩展）
SM	SM_CHANGEFACE	1104	yes	none	protocol-only	-	Grobal2.pas	变身/换外观
SM	SM_VERSION_FAIL	1106	yes	none	protocol-only	-	Grobal2.pas	版本校验失败
SM	SM_ITEMUPDATE	1500	yes	none	protocol-only	-	Grobal2.pas	物品更新广播
SM	SM_MONSTERSAY	1501	yes	none	protocol-only	-	Grobal2.pas	怪物喊话
SM	SM_SENDGAMELIST	5002	yes	none	protocol-only	-	Grobal2.pas	游戏列表——LoginSrv/私服族
SM	SM_GETBACKPASSWD_SUCCESS	5005	yes	none	protocol-only	-	Grobal2.pas	找回密码成功——LoginSrv 族
SM	SM_GETBACKPASSWD_FAIL	5006	yes	none	protocol-only	-	Grobal2.pas	找回密码失败——LoginSrv 族
SM	SM_SERVERCONFIG	5007	yes	none	protocol-only	-	Grobal2.pas	服务器配置下发——私服族
SM	SM_GAMEGOLDNAME	5008	yes	none	protocol-only	-	Grobal2.pas	游戏币名称——私服族
SM	SM_PASSWORD	5009	yes	none	protocol-only	-	Grobal2.pas	密码框——私服族
SM	SM_HORSERUN	5010	yes	none	protocol-only	-	Grobal2.pas	骑马动作帧
SM	SM_PASSWORDSTATUS	8002	yes	none	protocol-only	-	Grobal2.pas	密码状态——私服族
SM	SM_NEEDPASSWORD	8003	yes	none	protocol-only	-	Grobal2.pas	需要密码——私服族
SM	SM_GETREGINFO	8004	yes	none	protocol-only	-	Grobal2.pas	注册信息——私服族
SM	SM_EXCHGTAKEON_OK	65023	yes	none	protocol-only	-	Grobal2.pas	跨服装备交换成功——私服族
SM	SM_EXCHGTAKEON_FAIL	65024	yes	none	protocol-only	-	Grobal2.pas	跨服装备交换失败——私服族
SM	SM_TEST	65037	yes	none	protocol-only	-	Grobal2.pas	测试码
SM	SM_ACTION_MIN	65070	yes	none	protocol-only	-	Grobal2.pas	动作范围哨兵
SM	SM_ACTION_MAX	65071	yes	none	protocol-only	-	Grobal2.pas	动作范围哨兵
SM	SM_ACTION2_MIN	65072	yes	none	protocol-only	-	Grobal2.pas	动作范围哨兵
SM	SM_ACTION2_MAX	65073	yes	none	protocol-only	-	Grobal2.pas	动作范围哨兵
SKILL	SKILL_FIREBALL:warrior	1	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	火球术；GEEM2 Magic.DB 同名行 job=wizard learnable=no；W28 已实现职业门禁与权威效果
SKILL	SKILL_FIREBALL:wizard	1	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	火球术；GEEM2 Magic.DB 同名行 job=wizard learnable=yes；W28 已实现职业门禁与权威效果
SKILL	SKILL_FIREBALL:taoist	1	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	火球术；GEEM2 Magic.DB 同名行 job=wizard learnable=no；W28 已实现职业门禁与权威效果
SKILL	SKILL_HEALLING:warrior	2	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	治愈术；GEEM2 Magic.DB 同名行 job=taoist learnable=no；W28 已实现职业门禁与权威效果
SKILL	SKILL_HEALLING:wizard	2	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	治愈术；GEEM2 Magic.DB 同名行 job=taoist learnable=no；W28 已实现职业门禁与权威效果
SKILL	SKILL_HEALLING:taoist	2	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	治愈术；GEEM2 Magic.DB 同名行 job=taoist learnable=yes；W28 已实现职业门禁与权威效果
SKILL	SKILL_ONESWORD:warrior	3	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	基本剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=yes
SKILL	SKILL_ONESWORD:wizard	3	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	基本剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=no
SKILL	SKILL_ONESWORD:taoist	3	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	基本剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=no
SKILL	SKILL_ILKWANG:warrior	4	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	精神力战法；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_ILKWANG:wizard	4	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	精神力战法；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_ILKWANG:taoist	4	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	精神力战法；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_FIREBALL2:warrior	5	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	大火球；GEEM2 Magic.DB 同名行 job=wizard learnable=no；W32 复用 SKILL_FIREBALL 的单体延迟伤害链（Magic.pas:280 两者共用同一 case 分支）
SKILL	SKILL_FIREBALL2:wizard	5	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	大火球；GEEM2 Magic.DB 同名行 job=wizard learnable=yes；W32 复用 SKILL_FIREBALL 的单体延迟伤害链（Magic.pas:280 两者共用同一 case 分支）
SKILL	SKILL_FIREBALL2:taoist	5	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	大火球；GEEM2 Magic.DB 同名行 job=wizard learnable=no；W32 复用 SKILL_FIREBALL 的单体延迟伤害链（Magic.pas:280 两者共用同一 case 分支）
SKILL	SKILL_AMYOUNSUL:warrior	6	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	施毒术；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_AMYOUNSUL:wizard	6	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	施毒术；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_AMYOUNSUL:taoist	6	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	施毒术；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_YEDO:warrior	7	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	攻杀剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=yes
SKILL	SKILL_YEDO:wizard	7	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	攻杀剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=no
SKILL	SKILL_YEDO:taoist	7	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	攻杀剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=no
SKILL	SKILL_FIREWIND:warrior	8	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	抗拒火环；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_FIREWIND:wizard	8	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	抗拒火环；GEEM2 Magic.DB 同名行 job=wizard learnable=yes
SKILL	SKILL_FIREWIND:taoist	8	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	抗拒火环；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_FIRE:warrior	9	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	地狱火；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_FIRE:wizard	9	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	地狱火；GEEM2 Magic.DB 同名行 job=wizard learnable=yes
SKILL	SKILL_FIRE:taoist	9	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	地狱火；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_SHOOTLIGHTEN:warrior	10	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	疾光电影；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_SHOOTLIGHTEN:wizard	10	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	疾光电影；GEEM2 Magic.DB 同名行 job=wizard learnable=yes
SKILL	SKILL_SHOOTLIGHTEN:taoist	10	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	疾光电影；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_LIGHTENING:warrior	11	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	雷电术；GEEM2 Magic.DB 同名行 job=wizard learnable=no；W32 单体延迟伤害 + LA_UNDEAD 1.5x（Magic.pas:392，稻草人为已接线怪物中唯一 Undead=1 行）
SKILL	SKILL_LIGHTENING:wizard	11	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	雷电术；GEEM2 Magic.DB 同名行 job=wizard learnable=yes；W32 单体延迟伤害 + LA_UNDEAD 1.5x（Magic.pas:392，稻草人为已接线怪物中唯一 Undead=1 行）
SKILL	SKILL_LIGHTENING:taoist	11	n/a	gate-game	implemented	WorldMagicTest	Grobal2.pas:SKILL_*	雷电术；GEEM2 Magic.DB 同名行 job=wizard learnable=no；W32 单体延迟伤害 + LA_UNDEAD 1.5x（Magic.pas:392，稻草人为已接线怪物中唯一 Undead=1 行）
SKILL	SKILL_ERGUM:warrior	12	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	刺杀剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=yes
SKILL	SKILL_ERGUM:wizard	12	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	刺杀剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=no
SKILL	SKILL_ERGUM:taoist	12	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	刺杀剑术；GEEM2 Magic.DB 同名行 job=warrior learnable=no
SKILL	SKILL_FIRECHARM:warrior	13	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	灵魂火符；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_FIRECHARM:wizard	13	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	灵魂火符；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_FIRECHARM:taoist	13	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	灵魂火符；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_HANGMAJINBUB:warrior	14	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	幽灵盾；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_HANGMAJINBUB:wizard	14	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	幽灵盾；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_HANGMAJINBUB:taoist	14	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	幽灵盾；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_DEJIWONHO:warrior	15	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	神圣战甲术；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_DEJIWONHO:wizard	15	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	神圣战甲术；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_DEJIWONHO:taoist	15	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	神圣战甲术；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_HOLYSHIELD:warrior	16	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	困魔咒；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_HOLYSHIELD:wizard	16	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	困魔咒；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_HOLYSHIELD:taoist	16	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	困魔咒；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_SKELLETON:warrior	17	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	召唤骷髅；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_SKELLETON:wizard	17	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	召唤骷髅；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_SKELLETON:taoist	17	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	召唤骷髅；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_CLOAK:warrior	18	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	隐身术；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_CLOAK:wizard	18	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	隐身术；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_CLOAK:taoist	18	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	隐身术；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_BIGCLOAK:warrior	19	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	集体隐身术；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_BIGCLOAK:wizard	19	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	集体隐身术；GEEM2 Magic.DB 同名行 job=taoist learnable=no
SKILL	SKILL_BIGCLOAK:taoist	19	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	集体隐身术；GEEM2 Magic.DB 同名行 job=taoist learnable=yes
SKILL	SKILL_TAMMING:warrior	20	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	诱惑之光；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_TAMMING:wizard	20	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	诱惑之光；GEEM2 Magic.DB 同名行 job=wizard learnable=yes
SKILL	SKILL_TAMMING:taoist	20	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	诱惑之光；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_SPACEMOVE:warrior	21	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	瞬息移动；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_SPACEMOVE:wizard	21	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	瞬息移动；GEEM2 Magic.DB 同名行 job=wizard learnable=yes
SKILL	SKILL_SPACEMOVE:taoist	21	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	瞬息移动；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_EARTHFIRE:warrior	22	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	火墙；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_EARTHFIRE:wizard	22	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	火墙；GEEM2 Magic.DB 同名行 job=wizard learnable=yes
SKILL	SKILL_EARTHFIRE:taoist	22	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	火墙；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_FIREBOOM:warrior	23	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	爆裂火焰；GEEM2 Magic.DB 同名行 job=wizard learnable=no
SKILL	SKILL_FIREBOOM:wizard	23	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	爆裂火焰；GEEM2 Magic.DB 同名行 job=wizard learnable=yes
SKILL	SKILL_FIREBOOM:taoist	23	n/a	n/a	unimplemented	-	Grobal2.pas:SKILL_*	爆裂火焰；GEEM2 Magic.DB 同名行 job=wizard learnable=no
