# MIR2 authoritative database import — official 1.76 baseline (GEEM2 dump)
# source: https://github.com/cjlaaa/Mir2-GeeM2 @ 9981a8d7aecc (数据库/GEEM2.db.sql blob bfdc71d5943b7126a98604dca21bd62850f1cccc)
# generated by: java-server/scripts/extract-geem2-db.py — do not hand-edit; re-run the extractor
# note: rows in original dump order
# columns: name	race	raceImg	appr	level	undead	coolEye	exp	hp	mp	ac	mac	dc	dcMax	mc	sc	speed	hit	walkSpd	walkStep	walkWait	attackSpd
狐月赤狐0	132	101	321	50	1	0	5000	800	0	5	15	40	75	0	0	16	16	800	1	0	1800
狐月素狐0	133	101	322	50	1	0	5200	1200	0	10	25	25	55	0	0	16	16	1500	1	0	2200
古代骷髅	86	14	20	18	1	0	1400	500	0	0	0	17	35	0	0	13	11	1500	1	0	2000
古代掷斧骷髅	87	15	21	18	1	0	1450	550	0	0	0	17	39	0	0	12	15	1500	1	0	2000
古代骷髅战士	88	14	22	19	1	0	1500	600	0	0	0	18	37	0	0	13	11	1500	1	0	2000
古代骷髅战将	89	14	23	20	1	0	1550	650	0	2	2	18	38	0	0	15	12	1200	1	0	2000
古代骷髅精灵	89	14	150	40	1	1	2000	1000	0	5	5	22	44	0	0	15	14	1200	1	0	1800
古代骷髅鬼王	89	14	239	40	1	1	6000	2200	0	25	25	35	70	0	0	15	14	800	1	0	1500
古代黑色恶蛆	81	19	74	28	1	0	3800	800	0	12	12	30	40	0	0	15	13	630	1	0	1500
古代红野猪	81	19	110	32	1	0	3900	950	0	13	13	25	45	0	0	15	13	1200	1	0	2000
古代黑野猪	81	19	111	35	1	0	3900	950	0	13	13	25	45	0	0	15	13	800	1	0	2000
古代蝎蛇	81	19	130	35	1	0	4000	1000	0	13	13	27	48	0	0	15	13	600	1	0	2000
古代白野猪	81	19	112	50	1	0	4400	1150	0	15	15	32	54	0	0	25	17	800	1	0	1800
古代野猪王	81	19	103	50	1	0	12000	12000	0	35	35	40	80	0	0	25	17	630	1	0	1000
古代沃玛战士	97	19	30	30	1	0	5200	1400	0	3	3	45	68	0	0	15	13	1000	1	0	1800
古代沃玛勇士	97	19	32	30	1	0	5300	1450	0	3	3	46	70	0	0	15	13	1000	1	0	1800
古代沃玛战将	97	19	33	30	1	0	5400	1500	0	3	3	52	72	0	0	15	13	1000	1	0	1800
古代火焰沃玛	91	20	31	31	1	0	5500	1550	0	0	0	50	74	0	0	20	20	800	1	0	1500
古代沃玛卫士	97	19	151	50	1	0	5600	1500	0	8	8	56	78	0	0	20	17	800	1	0	1400
古代沃玛教主	92	21	34	60	1	1	30000	30000	0	35	35	50	100	0	0	30	20	630	1	0	1000
古代大老鼠	81	19	46	24	1	0	6000	900	0	20	20	52	76	0	0	15	12	800	1	0	1500
古代祖玛弓箭手	104	45	47	40	1	0	6100	900	0	20	20	52	80	0	0	15	15	800	1	0	1500
古代祖玛雕像	101	47	61	42	1	0	6200	1000	0	20	20	50	80	0	0	17	15	700	1	0	1500
古代祖玛卫士	101	47	62	43	1	0	6300	1100	0	20	20	56	80	0	0	17	15	600	1	0	1500
古代祖玛击雷将	81	37	221	60	1	1	30000	32767	0	20	20	55	110	0	0	20	30	800	1	0	800
封魔尸王	81	19	152	50	1	0	2900	1100	0	12	5	22	47	0	0	15	15	1500	1	0	2800
封魔尸王0	81	19	152	50	1	0	2900	1100	0	12	5	22	47	0	0	15	15	1500	1	0	2800
封魔邪恶钳虫	81	19	121	60	1	0	2900	1260	0	15	10	22	47	0	0	15	17	1800	1	0	1200
封魔邪恶钳虫0	81	19	121	60	1	0	2900	1260	0	15	10	22	47	0	0	15	17	1800	1	0	1200
封魔邪恶毒蛇	81	19	164	50	1	0	2900	1260	0	15	10	22	49	0	0	15	17	1800	1	0	800
封魔邪恶毒蛇0	81	19	164	50	1	0	2900	1260	0	15	10	22	49	0	0	15	17	1800	1	0	800
封魔护卫	97	19	151	50	1	0	3000	1100	0	15	8	20	42	0	0	20	17	800	1	0	1500
封魔护卫0	97	19	151	50	1	0	3000	1100	0	15	8	20	42	0	0	20	17	800	1	0	1500
封魔白野猪	81	19	112	50	1	0	3100	1100	0	15	15	22	47	0	0	25	17	1000	1	0	1800
封魔白野猪0	81	19	112	50	1	0	3100	1100	0	15	15	22	47	0	0	25	17	1000	1	0	1800
封魔弓箭手	104	45	47	40	1	0	3100	1100	0	12	15	14	30	0	0	15	15	1000	1	0	2000
封魔弓箭手0	104	45	47	40	1	0	3100	1100	0	12	15	14	30	0	0	15	15	1000	1	0	2000
封魔雕像	101	47	61	50	1	0	3400	1440	0	15	15	33	52	0	0	17	15	1000	1	0	2000
封魔雕像0	101	47	61	50	1	0	3400	1440	0	15	15	33	52	0	0	17	15	1000	1	0	2000
封魔卫士	101	47	62	50	1	0	3600	1620	0	15	16	33	57	0	0	17	15	1000	1	0	2000
封魔卫士0	101	47	62	50	1	0	3600	1620	0	15	16	33	57	0	0	17	15	1000	1	0	2000
封魔沃玛教主	92	21	34	60	1	1	12000	6000	0	30	30	35	75	0	0	30	20	800	1	0	1500
封魔祖玛教主	102	49	63	60	1	1	18000	10000	0	20	30	30	75	0	0	32	30	630	1	0	1000
封魔沃玛教主0	92	21	34	60	1	1	12000	6000	0	30	30	35	75	0	0	30	20	800	1	0	1500
幻影寒虎	81	101	222	47	0	1	3000	1000	0	18	25	20	55	0	0	16	15	800	1	0	1000
祖玛击雷将	101	100	221	54	0	10	5000	3000	0	18	20	20	70	0	0	16	15	1000	1	0	1000
神石毒魔蛛	81	101	223	52	0	10	5000	2000	0	15	20	20	90	0	0	16	15	800	1	0	1000
魔龙石碑	207	75	216	60	1	10	2200	10000	0	20	18	33	49	0	0	16	18	500000	500000	500000	1800
古代恶灵僵尸	81	19	142	35	1	0	5000	1150	0	18	18	40	64	0	0	15	13	1000	1	0	1800
古代恶灵尸王	81	64	143	33	1	0	5000	1500	0	17	17	20	70	0	0	15	13	1500	1	0	2200
古代骷髅锤兵	81	67	144	49	1	100	5400	1500	0	21	21	52	78	0	0	15	15	800	1	0	1800
古代骷髅长枪兵	81	66	145	42	1	0	5200	1300	0	19	19	48	72	0	0	15	13	1200	1	0	2000
古代骷髅刀斧手	81	65	146	45	1	0	5300	1400	0	19	19	48	72	0	0	15	13	1000	1	0	2000
古代骷髅弓箭手	104	68	147	38	1	30	5100	900	0	15	15	55	75	0	0	10	15	1200	1	0	2000
古代黄泉教主	81	63	148	60	1	100	15000	15000	0	35	35	40	100	0	0	22	20	300	1	0	1000
红洞僵尸	156	156	1	55	1	1	6000	1300	0	10	15	25	55	0	0	15	15	1000	1	0	1500
红洞青尸	156	156	2	55	1	1	6120	900	0	10	22	29	58	0	0	16	16	800	1	0	1300
红洞鼠怪	156	156	3	56	1	1	6360	1150	0	22	22	28	60	0	0	17	17	1000	1	0	1000
红洞狂鼠怪	156	156	4	70	1	1	6050	1500	0	20	20	30	65	0	0	18	18	1000	1	0	1000
红洞噬魂怪	156	156	5	70	1	1	7700	2000	0	27	37	39	78	0	0	19	19	1300	1	0	900
红洞束魂怪	156	156	6	70	1	1	7700	2000	0	24	37	36	74	0	0	20	20	900	1	0	900
红洞人面怪	156	156	7	70	1	1	1100	1200	0	24	27	22	73	0	0	21	21	1000	1	0	800
红洞黑水蛛	156	156	8	70	1	1	1100	600	0	10	11	45	90	0	0	22	22	400	1	0	800
红洞怨恶	156	156	9	70	1	1	30000	30000	0	35	70	60	100	0	0	23	23	630	1	0	900
红洞僵尸0	156	156	10	70	1	1	6000	1300	0	10	15	28	55	0	0	15	15	1000	1	0	1500
红洞青尸0	156	156	11	70	1	1	6120	900	0	10	22	29	58	0	0	16	16	800	1	0	1300
红洞鼠怪0	156	156	12	70	1	1	6360	1150	0	22	22	30	60	0	0	17	17	1000	1	0	1000
红洞狂鼠怪0	156	156	13	70	1	1	6050	1500	0	20	20	31	65	0	0	18	18	1000	1	0	1000
南蛮寒狼	156	156	14	70	1	1	4730	1000	0	10	11	20	40	0	0	15	15	800	1	0	1300
南蛮狂狼	156	156	15	70	1	1	5060	1300	0	15	17	26	52	0	0	16	16	800	1	0	1100
南蛮逆天鬼	156	156	16	70	1	1	5060	1000	0	22	27	16	32	0	0	17	17	1000	1	0	1200
南蛮黑猩猩	156	156	17	70	1	1	5280	1350	0	35	57	17	34	0	0	18	18	800	1	0	600
南蛮黑天鬼	156	156	18	70	1	1	5280	1200	0	26	29	20	41	0	0	19	19	1000	1	0	2000
南蛮寒天鬼	156	156	19	70	1	1	5390	1800	0	28	33	23	46	0	0	20	20	1000	1	0	2000
南蛮灭鬼	156	156	20	70	1	1	5610	1700	0	32	36	29	58	0	0	21	21	1000	1	0	2000
南蛮黑虎	156	156	21	70	1	1	6160	1500	0	26	18	26	52	0	0	22	22	800	1	0	800
南蛮白虎	156	156	22	70	1	1	6380	1700	0	30	22	28	56	0	0	23	23	800	1	0	800
南蛮白象	156	156	23	70	1	1	6490	2200	0	62	41	35	70	0	0	24	24	1200	1	0	1500
南蛮犀牛	156	156	24	70	1	1	6710	2000	0	54	26	31	62	0	0	25	25	1200	1	0	1500
南蛮丹墨	156	156	25	99	1	1	36000	30000	0	50	70	89	98	0	0	26	26	700	1	0	1100
南蛮野兽王	156	156	26	99	1	1	40000	34000	0	52	72	92	121	0	0	27	27	600	1	0	900
南蛮寒狼0	156	156	27	70	1	1	4730	1000	0	10	11	20	40	0	0	15	15	800	1	0	1300
南蛮狂狼0	156	156	28	70	1	1	5060	1300	0	15	17	26	52	0	0	16	16	800	1	0	1100
南蛮逆天鬼0	156	156	29	70	1	1	5060	1000	0	22	27	16	32	0	0	17	17	1000	1	0	1200
南蛮黑猩猩0	156	156	30	70	1	1	5280	1350	0	35	57	17	34	0	0	18	18	800	1	0	600
南蛮黑天鬼0	156	156	31	70	1	1	5280	1200	0	26	29	20	41	0	0	19	19	1000	1	0	2000
南蛮寒天鬼0	156	156	32	70	1	1	5390	1800	0	28	33	23	46	0	0	20	20	1000	1	0	2000
南蛮灭鬼0	156	156	33	70	1	1	5610	1700	0	32	36	29	58	0	0	21	21	1000	1	0	2000
南蛮黑虎0	156	156	34	70	1	1	6160	1500	0	26	18	26	52	0	0	22	22	800	1	0	800
南蛮白虎0	156	156	35	70	1	1	6380	1700	0	30	22	28	56	0	0	23	23	800	1	0	800
南蛮白象0	156	156	36	70	1	1	6490	2200	0	62	41	35	70	0	0	24	24	1200	1	0	1500
南蛮犀牛0	156	156	37	70	1	1	6710	2000	0	54	26	31	62	0	0	25	25	1200	1	0	1500
南蛮冷血寒狼	156	156	38	72	1	1	5060	1200	0	14	16	23	46	0	0	15	15	800	1	0	1300
南蛮冷血狂狼	156	156	39	72	1	1	5500	1500	0	20	23	29	59	0	0	16	16	800	1	0	1100
南蛮腐烂逆天鬼	156	156	40	72	1	1	5610	1200	0	28	37	21	42	0	0	17	17	1000	1	0	1200
南蛮愤怒黑猩猩	156	156	41	72	1	1	5720	1550	0	42	67	23	46	0	0	18	18	800	1	0	600
南蛮烧焦黑天鬼	156	156	42	72	1	1	5720	1400	0	32	36	24	49	0	0	19	19	1000	1	0	2000
南蛮冰冻寒天鬼	156	156	43	72	1	1	5940	1900	0	38	43	26	52	0	0	20	20	1000	1	0	2000
南蛮狂气灭鬼	156	156	44	72	1	1	6050	1850	0	37	42	33	66	0	0	21	21	1000	1	0	2000
南蛮凶暴黑虎	156	156	45	72	1	1	6600	1700	0	32	24	30	60	0	0	22	22	800	1	0	800
南蛮凶暴白虎	156	156	46	72	1	1	6710	1800	0	35	28	30	61	0	0	23	23	800	1	0	800
南蛮猛烈白象	156	156	47	72	1	1	7040	2350	0	62	36	36	72	0	0	24	24	1000	1	0	1500
南蛮狂暴犀牛	156	156	48	72	1	1	7095	2100	0	74	52	41	82	0	0	25	25	1000	1	0	1500
南蛮冷血寒狼0	156	156	49	72	1	1	5060	1200	0	14	16	23	46	0	0	15	15	800	1	0	1300
南蛮冷血狂狼0	156	156	50	72	1	1	5500	1500	0	20	23	29	59	0	0	16	16	800	1	0	1100
南蛮腐烂逆天鬼0	156	156	51	72	1	1	5610	1200	0	28	37	21	42	0	0	17	17	1000	1	0	1200
南蛮愤怒黑猩猩0	156	156	52	72	1	1	5720	1550	0	42	67	23	46	0	0	18	18	800	1	0	600
南蛮烧焦黑天鬼0	156	156	53	72	1	1	5720	1400	0	32	36	24	49	0	0	19	19	1000	1	0	2000
南蛮冰冻寒天鬼0	156	156	54	72	1	1	5940	1900	0	38	43	26	52	0	0	20	20	1000	1	0	2000
南蛮狂气灭鬼0	156	156	55	72	1	1	6050	1850	0	37	42	33	66	0	0	21	21	1000	1	0	2000
南蛮凶暴黑虎0	156	156	56	72	1	1	6600	1700	0	32	24	30	60	0	0	22	22	800	1	0	800
南蛮凶暴白虎0	156	156	57	72	1	1	6710	1800	0	35	28	30	61	0	0	23	23	800	1	0	800
南蛮猛烈白象0	156	156	58	72	1	1	7040	2350	0	62	36	36	72	0	0	24	24	1000	1	0	1500
南蛮狂暴犀牛0	156	156	59	72	1	1	7095	2100	0	74	52	41	82	0	0	25	25	1000	1	0	1500
